coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",267.0,247.0,20.0,154.0,113.0,171.0,16.0,76.0,0.0,144094,137641,6453,324999,0,0.0,0.0,41269.31569327906,37696.07398205779,95445.76653006423,65.97
TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC",4609.0,2659.0,1950.0,2825.0,1769.0,1657.0,533.0,2683.0,20.0,614317,587987,26330,1251173,0,0.0,0.0,62230.35499247506,136853.57872593103,236313.139232843,65.97
TX-701,"Bryan, College Station/Brazos Valley CoC",168.0,155.0,13.0,87.0,81.0,103.0,77.0,64.0,0.0,157348,151284,6064,333289,0,0.0,0.0,36859.886791943325,77055.85754718733,153764.52619088755,65.97
UT-500,Salt Lake City & County CoC,2176.0,2086.0,90.0,1412.0,758.0,1641.0,526.0,242.0,31.0,582490,563174,19316,1102690,0,0.0,0.0,46104.0,172387.2852257681,258844.30274638857,49.55
UT-503,Utah Balance of State CoC,646.0,548.0,98.0,335.0,310.0,531.0,94.0,62.0,3.0,569648,547133,22515,1237352,0,0.0,0.0,35824.43928081904,131037.37273424555,205731.16520984966,49.55
UT-504,Provo/Mountainland CoC,203.0,165.0,38.0,95.0,108.0,187.0,40.0,7.0,1.0,36143,34944,1199,68806,0,0.0,0.0,83373.93845013516,209362.6574119022,398987.9772149094,49.55
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",818.0,732.0,86.0,634.0,182.0,256.0,27.0,531.0,2.0,451864,433014,18850,840449,0,0.0,0.0,55482.615346082865,130087.49412602383,209749.34820952927,55.53999999999999
VA-501,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",735.0,680.0,55.0,494.0,241.0,122.0,22.0,538.0,0.0,18876,18026,850,36185,0,0.0,0.0,50670.0,65107.5656315461,274076.75920321455,55.54
VA-502,"Roanoke City & County, Salem CoC",390.0,378.0,12.0,234.0,156.0,217.0,24.0,146.0,0.0,19848,18997,851,38531,0,0.0,0.0,45133.55967921933,69862.4066174876,174064.3377408949,55.53999999999999
VA-504,Charlottesville CoC,185.0,160.0,25.0,106.0,79.0,81.0,3.0,94.0,0.0,49264,47330,1934,94588,0,0.0,0.0,41115.729458282236,87964.67117681776,158056.35657657226,55.53999999999999
VA-508,Lynchburg CoC,237.0,227.0,10.0,138.0,98.0,101.0,6.0,119.0,5.0,22406,21343,1063,47340,0,0.0,0.0,34360.54995775243,69036.61902046391,135237.4696454826,55.54
